x_mi,y_px,y_ft
0.000000,0.00,220.0
0.002505,0.00,220.0
0.005010,0.00,220.0
0.007516,0.00,220.0
0.010021,0.00,220.0
0.012526,0.00,220.0
0.015031,0.00,220.0
0.017537,0.00,220.0
0.020042,0.00,220.0
0.022547,0.00,220.0
0.025052,0.00,220.0
0.027557,0.00,220.0
0.030063,0.00,220.0
0.032568,0.00,220.0
0.035073,0.50,223.1
0.037578,0.50,223.1
0.040084,1.00,226.2
0.042589,1.00,226.2
0.045094,1.00,226.2
0.047599,1.00,226.2
0.050104,1.00,226.2
0.052610,1.00,226.2
0.055115,1.00,226.2
0.057620,1.50,229.2
0.060125,2.00,232.3
0.062630,2.00,232.3
0.065136,2.00,232.3
0.067641,2.00,232.3
0.070146,2.00,232.3
0.072651,2.00,232.3
0.075157,2.00,232.3
0.077662,2.00,232.3
0.080167,2.00,232.3
0.082672,2.00,232.3
0.085177,2.00,232.3
0.087683,2.00,232.3
0.090188,2.00,232.3
0.092693,2.00,232.3
0.095198,2.00,232.3
0.097704,2.00,232.3
0.100209,2.00,232.3
0.102714,2.00,232.3
0.105219,2.00,232.3
0.107724,2.00,232.3
0.110230,2.00,232.3
0.112735,2.00,232.3
0.115240,2.00,232.3
0.117745,3.00,238.5
0.120251,3.00,238.5
0.122756,3.00,238.5
0.125261,3.00,238.5
0.127766,3.50,241.6
0.130271,4.00,244.7
0.132777,4.00,244.7
0.135282,4.00,244.7
0.137787,4.00,244.7
0.140292,4.00,244.7
0.142797,4.00,244.7
0.145303,4.00,244.7
0.147808,4.00,244.7
0.150313,4.00,244.7
0.152818,4.00,244.7
0.155324,4.00,244.7
0.157829,4.00,244.7
0.160334,4.00,244.7
0.162839,4.00,244.7
0.165344,5.00,250.8
0.167850,5.00,250.8
0.170355,4.00,244.7
0.172860,4.00,244.7
0.175365,4.00,244.7
0.177871,4.00,244.7
0.180376,4.00,244.7
0.182881,4.00,244.7
0.185386,4.00,244.7
0.187891,4.00,244.7
0.190397,4.00,244.7
0.192902,4.00,244.7
0.195407,4.00,244.7
0.197912,4.00,244.7
0.200418,3.50,241.6
0.202923,3.00,238.5
0.205428,2.50,235.4
