x_mi,y_px,y_ft
0.000000,0.00,960.0
0.001361,-0.50,955.7
0.002723,-0.50,955.7
0.004084,-0.50,955.7
0.005445,-0.50,955.7
0.006806,0.00,960.0
0.008168,0.50,964.3
0.009529,0.50,964.3
0.010890,0.50,964.3
0.012251,0.50,964.3
0.013613,0.00,960.0
0.014974,-0.50,955.7
0.016335,-0.50,955.7
0.017696,-0.50,955.7
0.019058,-0.50,955.7
0.020419,-0.50,955.7
0.021780,-0.50,955.7
0.023141,-0.50,955.7
0.024503,-0.50,955.7
0.025864,0.00,960.0
0.027225,0.50,964.3
0.028586,0.50,964.3
0.029948,0.50,964.3
0.031309,0.50,964.3
0.032670,0.50,964.3
0.034031,0.50,964.3
0.035393,0.50,964.3
0.036754,0.50,964.3
0.038115,1.00,968.7
0.039476,1.50,973.0
0.040838,1.50,973.0
0.042199,1.50,973.0
0.043560,1.50,973.0
0.044921,1.50,973.0
0.046283,1.50,973.0
0.047644,2.00,977.4
0.049005,2.50,981.7
0.050366,2.50,981.7
0.051728,2.50,981.7
0.053089,2.50,981.7
0.054450,3.00,986.1
0.055812,3.50,990.4
0.057173,3.50,990.4
0.058534,4.00,994.7
0.059895,4.00,994.7
0.061257,4.50,999.1
0.062618,5.00,1003.4
0.063979,5.50,1007.8
0.065340,5.50,1007.8
0.066702,5.50,1007.8
0.068063,6.50,1016.4
0.069424,6.50,1016.4
0.070785,6.50,1016.4
0.072147,7.50,1025.1
0.073508,7.50,1025.1
0.074869,8.00,1029.5
0.076230,8.50,1033.8
0.077592,8.50,1033.8
0.078953,8.50,1033.8
0.080314,9.00,1038.2
0.081675,9.50,1042.5
0.083037,9.50,1042.5
0.084398,10.00,1046.8
0.085759,10.50,1051.2
0.087120,10.50,1051.2
0.088482,11.00,1055.5
0.089843,11.50,1059.9
0.091204,12.00,1064.2
0.092565,12.00,1064.2
0.093927,12.50,1068.5
0.095288,13.00,1072.9
0.096649,13.50,1077.2
0.098010,13.50,1077.2
0.099372,13.50,1077.2
0.100733,14.00,1081.6
0.102094,14.50,1085.9
0.103455,14.50,1085.9
0.104817,15.50,1094.6
0.106178,15.50,1094.6
0.107539,15.50,1094.6
0.108901,15.50,1094.6
0.110262,15.50,1094.6
0.111623,15.50,1094.6
0.112984,16.50,1103.3
0.114346,16.50,1103.3
0.115707,16.50,1103.3
0.117068,16.50,1103.3
0.118429,16.50,1103.3
0.119791,16.50,1103.3
0.121152,16.50,1103.3
0.122513,16.50,1103.3
0.123874,16.50,1103.3
0.125236,16.50,1103.3
0.126597,16.50,1103.3
0.127958,16.50,1103.3
0.129319,16.50,1103.3
0.130681,16.50,1103.3
0.132042,16.50,1103.3
0.133403,16.50,1103.3
0.134764,16.50,1103.3
0.136126,16.50,1103.3
0.137487,15.50,1094.6
0.138848,16.50,1103.3
0.140209,16.50,1103.3
0.141571,16.50,1103.3
0.142932,16.50,1103.3
0.144293,16.50,1103.3
0.145654,16.50,1103.3
0.147016,16.00,1098.9
0.148377,15.50,1094.6
0.149738,15.50,1094.6
0.151099,15.50,1094.6
0.152461,15.50,1094.6
0.153822,15.50,1094.6
0.155183,15.50,1094.6
0.156545,15.50,1094.6
0.157906,15.50,1094.6
0.159267,15.50,1094.6
0.160628,15.50,1094.6
0.161990,15.50,1094.6
0.163351,15.50,1094.6
0.164712,15.50,1094.6
0.166073,15.50,1094.6
0.167435,15.50,1094.6
0.168796,15.50,1094.6
0.170157,15.50,1094.6
0.171518,16.00,1098.9
0.172880,16.50,1103.3
0.174241,16.50,1103.3
0.175602,16.50,1103.3
0.176963,16.50,1103.3
0.178325,16.50,1103.3
0.179686,16.50,1103.3
0.181047,17.50,1112.0
0.182408,17.50,1112.0
0.183770,17.50,1112.0
0.185131,17.50,1112.0
0.186492,17.50,1112.0
0.187853,18.50,1120.6
0.189215,18.50,1120.6
0.190576,18.50,1120.6
0.191937,18.50,1120.6
0.193298,18.50,1120.6
0.194660,19.00,1125.0
0.196021,19.50,1129.3
0.197382,19.50,1129.3
0.198743,19.50,1129.3
0.200105,19.50,1129.3
0.201466,19.50,1129.3
0.202827,20.50,1138.0
0.204188,20.50,1138.0
0.205550,21.00,1142.4
0.206911,21.00,1142.4
0.208272,21.50,1146.7
0.209634,21.50,1146.7
0.210995,21.50,1146.7
0.212356,22.00,1151.0
0.213717,22.00,1151.0
0.215079,22.50,1155.4
0.216440,23.00,1159.7
0.217801,23.50,1164.1
0.219162,23.50,1164.1
0.220524,23.50,1164.1
0.221885,24.00,1168.4
0.223246,24.50,1172.8
0.224607,24.50,1172.8
0.225969,24.50,1172.8
0.227330,25.00,1177.1
0.228691,25.50,1181.4
0.230052,25.50,1181.4
0.231414,26.00,1185.8
0.232775,26.50,1190.1
0.234136,26.50,1190.1
0.235497,26.50,1190.1
0.236859,27.00,1194.5
0.238220,27.50,1198.8
0.239581,27.50,1198.8
0.240942,27.50,1198.8
0.242304,27.50,1198.8
0.243665,28.50,1207.5
0.245026,28.50,1207.5
0.246387,28.50,1207.5
0.247749,28.50,1207.5
0.249110,28.50,1207.5
0.250471,29.50,1216.2
0.251832,29.50,1216.2
0.253194,29.50,1216.2
0.254555,29.50,1216.2
0.255916,29.50,1216.2
0.257277,29.50,1216.2
0.258639,29.50,1216.2
0.260000,29.50,1216.2
0.261361,30.50,1224.9
0.262723,30.50,1224.9
0.264084,30.50,1224.9
0.265445,30.50,1224.9
0.266806,30.50,1224.9
0.268168,31.00,1229.2
0.269529,31.50,1233.5
0.270890,31.50,1233.5
0.272251,31.50,1233.5
0.273613,31.50,1233.5
0.274974,32.50,1242.2
0.276335,32.50,1242.2
0.277696,32.50,1242.2
0.279058,33.00,1246.6
0.280419,33.50,1250.9
0.281780,33.50,1250.9
0.283141,34.00,1255.2
0.284503,34.00,1255.2
0.285864,34.50,1259.6
0.287225,34.50,1259.6
0.288586,35.50,1268.3
0.289948,35.50,1268.3
0.291309,36.00,1272.6
0.292670,36.50,1277.0
0.294031,36.50,1277.0
0.295393,36.50,1277.0
0.296754,37.50,1285.6
0.298115,37.50,1285.6
0.299476,37.50,1285.6
0.300838,38.50,1294.3
0.302199,38.50,1294.3
0.303560,39.00,1298.7
0.304921,39.50,1303.0
0.306283,39.50,1303.0
0.307644,40.50,1311.7
0.309005,40.50,1311.7
0.310366,41.00,1316.0
0.311728,41.50,1320.4
0.313089,41.50,1320.4
0.314450,42.50,1329.1
0.315812,42.50,1329.1
0.317173,43.00,1333.4
0.318534,43.50,1337.7
0.319895,43.50,1337.7
0.321257,44.00,1342.1
0.322618,44.50,1346.4
0.323979,44.50,1346.4
0.325340,45.00,1350.8
0.326702,45.50,1355.1
0.328063,45.50,1355.1
0.329424,46.50,1363.8
0.330785,46.50,1363.8
0.332147,47.00,1368.1
0.333508,47.50,1372.5
0.334869,47.50,1372.5
0.336230,48.00,1376.8
0.337592,48.50,1381.2
0.338953,48.50,1381.2
0.340314,49.50,1389.8
0.341675,49.50,1389.8
0.343037,49.50,1389.8
0.344398,50.50,1398.5
0.345759,50.50,1398.5
0.347120,51.00,1402.9
0.348482,51.50,1407.2
0.349843,51.50,1407.2
0.351204,52.00,1411.6
0.352565,52.50,1415.9
0.353927,52.50,1415.9
0.355288,53.00,1420.2
0.356649,53.50,1424.6
0.358010,53.50,1424.6
0.359372,54.00,1428.9
0.360733,54.00,1428.9
0.362094,55.00,1437.6
0.363455,55.50,1441.9
0.364817,56.00,1446.3
0.366178,56.50,1450.6
0.367539,56.50,1450.6
0.368901,56.50,1450.6
0.370262,56.50,1450.6
0.371623,56.50,1450.6
0.372984,57.50,1459.3
0.374346,58.00,1463.7
0.375707,58.50,1468.0
0.377068,59.00,1472.3
0.378429,59.50,1476.7
0.379791,59.50,1476.7
0.381152,60.00,1481.0
0.382513,60.50,1485.4
0.383874,60.50,1485.4
0.385236,60.50,1485.4
0.386597,60.50,1485.4
0.387958,60.50,1485.4
0.389319,61.50,1494.1
0.390681,61.50,1494.1
0.392042,61.50,1494.1
0.393403,61.50,1494.1
0.394764,62.50,1502.7
0.396126,62.50,1502.7
0.397487,62.50,1502.7
0.398848,63.00,1507.1
0.400209,63.50,1511.4
0.401571,63.50,1511.4
0.402932,63.50,1511.4
0.404293,64.50,1520.1
0.405654,64.50,1520.1
0.407016,64.50,1520.1
0.408377,65.00,1524.4
0.409738,65.50,1528.8
0.411099,65.50,1528.8
0.412461,65.50,1528.8
0.413822,66.00,1533.1
0.415183,66.50,1537.5
0.416545,66.50,1537.5
0.417906,66.50,1537.5
0.419267,67.00,1541.8
0.420628,67.50,1546.2
0.421990,67.50,1546.2
0.423351,68.00,1550.5
0.424712,68.50,1554.8
0.426073,68.50,1554.8
0.427435,68.50,1554.8
0.428796,69.00,1559.2
0.430157,69.50,1563.5
0.431518,70.00,1567.9
0.432880,70.50,1572.2
0.434241,71.00,1576.5
0.435602,71.00,1576.5
0.436963,71.50,1580.9
0.438325,72.00,1585.2
0.439686,72.50,1589.6
0.441047,72.50,1589.6
0.442408,72.50,1589.6
0.443770,73.00,1593.9
0.445131,73.50,1598.3
0.446492,74.00,1602.6
0.447853,74.50,1606.9
0.449215,74.50,1606.9
0.450576,75.00,1611.3
0.451937,75.50,1615.6
0.453298,75.50,1615.6
0.454660,76.00,1620.0
0.456021,76.00,1620.0
0.457382,76.50,1624.3
0.458743,77.00,1628.6
0.460105,77.50,1633.0
0.461466,77.50,1633.0
0.462827,77.50,1633.0
0.464188,78.50,1641.7
0.465550,78.50,1641.7
0.466911,79.00,1646.0
0.468272,79.50,1650.4
0.469634,80.00,1654.7
0.470995,80.50,1659.0
0.472356,80.50,1659.0
0.473717,81.00,1663.4
0.475079,81.50,1667.7
0.476440,81.50,1667.7
0.477801,82.00,1672.1
0.479162,82.50,1676.4
0.480524,82.50,1676.4
0.481885,82.50,1676.4
